stop_id;stop_name;latitude;longitude
CNDIPE ;Avenida José de Souza Nogueira (Condomínio Residencial do Ipê);-22,45352751;-45,42015957
JSN1391 ;Avenida José de Souza Nogueira, 1391;-22,45129423;-45,42067915
JSN1408 ;Avenida José de Souza Nogueira, 1408;-22,45130414;-45,42077502
JSN1270 ;Avenida José de Souza Nogueira, 1270;-22,45028358;-45,42071511
JSN1267 ;Avenida José de Souza Nogueira, 1267;-22,45018265;-45,420566
JSN951 ;Avenida José de Souza Nogueira, 951 (Ginásio Poliesportivo);-22,44857803;-45,42015079
JSN1110 ;Avenida José de Souza Nogueira, 1110;-22,44880465;-45,42029489
JSN649 ;Avenida José de Souza Nogueira, 649;-22,44685657;-45,4203557
JSN678 ;Avenida José de Souza Nogueira, 678;-22,44691312;-45,42042923
JSN525 ;Avenida José de Souza Nogueira, 525;-22,44583269;-45,42132375
JSN2 ;Avenida José de Souza Nogueira, 2;-22,44576254;-45,42260645
CAR1 ;Avenida Coronel Aventino Ribeiro;-22,44435063;-45,42435496
CAR2 ;Avenida Coronel Aventino Ribeiro;-22,44419655;-45,4245552
CAR3 ;Avenida Coronel Aventino Ribeiro;-22,44319347;-45,42656847
CAR4 ;Avenida Coronel Aventino Ribeiro;-22,44287544;-45,42714925
IMBEL ;Avenida Coronel Aventino Ribeiro (Imbel);-22,44206289;-45,42803917
IMBEL2 ;Avenida Coronel Aventino Ribeiro (Imbel);-22,44138444;-45,42910253
PÇPIO ;Avenida Vereador José Pereira de Oliveira (Praça dos Pioneiros);-22,44152776;-45,42954861
CAR999 ;Avenida Coronel Aventino Ribeiro, 999;-22,44001456;-45,43050238
CAR1000 ;Avenida Coronel Aventino Ribeiro, 1000;-22,44017857;-45,430563
CAR1760 ;Avenida Coronel Aventino Ribeiro, 1760;-22,43847437;-45,43240858
CAR1813 ;Avenida Coronel Aventino Ribeiro, 1813;-22,43858139;-45,43218324
CAR397 ;Avenida Coronel Aventino Ribeiro, 397;-22,43491275;-45,4333481
CAR344 ;Avenida Coronel Aventino Ribeiro, 334;-22,43460885;-45,43357837
OCRUZ769 ;Rua Osvaldo Cruz, 769;-22,4315818;-45,43541887
OCRUZ750 ;Rua Osvaldo Cruz, 750;-22,43144067;-45,43566659
OCRUZ635 ;Rua Osvaldo Cruz, 635;-22,43046494;-45,4362222
OCRUZ520 ;Rua Osvaldo Cruz, 520;-22,4295913;-45,43718058
OCRUZ471 ;Rua Osvaldo Cruz, 471;-22,42924488;-45,43737921
OCRUZ45 ;Rua Osvaldo Cruz, 45;-22,42713571;-45,4409144
JJOSE831 ;Rua Joaquim José, 831;-22,4264219;-45,44245526
JJOSE605 ;Rua Joaquim José, 605;-22,42606596;-45,44458392
CJF397 ;Rua Coronel Joaquim Francisco, 397;-22,42644254;-45,44788492
CALVI131 ;Rua Cesário Alvin, 131;-22,42576067;-45,45200178
PMR264 ;Praça Padre Marçal Ribeiro, 264;-22,42637426;-45,45319615
SAMB ;Avenida dos Ferroviários (Sambódromo);-22,42518298;-45,45947869
BR459.1 ;Trevo Ponte da Imbel 1;-22,44271815;-45,43159573
BR459.2 ;Trevo Ponte da Imbel 2;-22,44290196;-45,43149047
PLC2681 ;Avenida Padre Lourenço da Costa, 2681;-22,44126133;-45,43411857
PLC2646 ;Avenida Padre Lourenço da Costa, 2646;-22,44117989;-45,43443911
PLC2436 ;Avenida Padre Lourenço da Costa, 2436;-22,43958219;-45,43578523
PLC2459 ;Avenida Padre Lourenço da Costa, 2459;-22,43979418;-45,43551383
PLC2245 ;Avenida Padre Lourenço da Costa, 2245;-22,43827751;-45,43669826
PLC1951 ;Avenida Padre Lourenço da Costa, 1951;-22,43566272;-45,43782081
PLC1942 ;Avenida Padre Lourenço da Costa, 1942;-22,4355963;-45,43796407
PLC1503 ;Avenida Padre Lourenço da Costa, 1503;-22,43253028;-45,44041907
PLC1460 ;Avenida Padre Lourenço da Costa, 1460;-22,43248728;-45,44062313
PLC1323 ;Avenida Padre Lourenço da Costa, 1323;-22,4317159;-45,44157333
PLC1316 ;Avenida Padre Lourenço da Costa, 1316;-22,43175839;-45,44166135
PLC1075 ;Avenida Padre Lourenço da Costa, 1075;-22,43035974;-45,44357429
PLC1072 ;Avenida Padre Lourenço da Costa, 1072;-22,43041108;-45,44365315
PLC767 ;Avenida Padre Lourenço da Costa, 767;-22,42998226;-45,44598201
PLC670 ;Avenida Padre Lourenço da Costa, 670;-22,43059578;-45,44707333
ASALO47 ;Rua Antônio Salomon, 47;-22,42862968;-45,45352219
VSANC231 ;Avenida Dr. Vicente Sanches, 231;-22,42844169;-45,44634794
VSANC142 ;Avenida Dr. Vicente Sanchesm 142;-22,42752032;-45,44696173
MV136 ;Rua Miguel Viana, 136;-22,4221165;-45,46092417
JPULI143 ;Rua João Pullit, 143;-22,42017487;-45,46104584
JPULI280 ;Rua João Pullit, 280;-22,41999862;-45,46137034
CTS500 ;Avenida Clemente Teodoro da Silva, 500;-22,41869729;-45,4628136
CTS501 ;Avenida Clemente Teodoro da Silva, 501;-22,4185955;-45,46295409
CTS387 ;Avenida Clemente Teodoro da Silva, 387;-22,41751081;-45,46340663
CTS555 ;Avenida Clemente Teodoro da Silva, 555;-22,41692857;-45,46472223
CTS556 ;Avenida Clemente Teodoro da Silva, 556;-22,41696065;-45,46459358
CTS988 ;Avenida Clemente Teodoro da Silva, 988;-22,4149726;-45,46800219
CTS1070 ;Avenida Clemente Teodoro da Silva, 1070;-22,41448468;-45,4687931
CTS1652 ;Avenida Clemente Teodoro da Silva, 1652;-22,41037786;-45,46673718
CTS1710 ;Avenida Clemente Teodoro da Silva, 1710;-22,40879662;-45,46621093
CTS1719 ;Avenida Clemente Teodoro da Silva, 1719;-22,40856634;-45,46614026
CTS2218 ;Avenida Clemente Teodoro da Silva, 2218;-22,40771556;-45,46516833
CTS2219 ;Avenida Clemente Teodoro da Silva, 2219;-22,40767162;-45,46523388
CTS2340 ;Avenida Clemente Teodoro da Silva, 2340;-22,40677926;-45,46489596
CTS2341 ;Avenida Clemente Teodoro da Silva, 2341;-22,4067371;-45,46496623
CTS2485 ;Avenida Clemente Teodoro da Silva, 2485;-22,40566602;-45,46489804
CTS2486 ;Avenida Clemente Teodoro da Silva, 2486;-22,40570096;-45,46483197
CTS2653 ;Avenida Clemente Teodoro da Silva, 2653;-22,40434022;-45,46403088
CTS2654 ;Avenida Clemente Teodoro da Silva, 2654;-22,40440847;-45,46395598
CTS2833 ;Avenida Clemente Teodoro da Silva, 2833;-22,40293861;-45,46297434
CTS2834 ;Avenida Clemente Teodoro da Silva, 2834;-22,40298702;-45,46291536
CTS3001 ;Avenida Clemente Teodoro da Silva, 3001;-22,40158177;-45,46150092
CTS3002 ;Avenida Clemente Teodoro da Silva, 3002;-22,40168856;-45,46143437
MFÉ;Estrada Antiga para Maria da Fé;-22,3969794;-45,46012205
21NOV1605 ;Avenida 21 de Novembro, 1605;-22,41065455;-45,46709712
21NOV1297 ;Avenida 21 de Novembro, 1297;-22,41223837;-45,46867476
21NOV1087 ;Avenida 21 de Novembro, 1087;-22,41298737;-45,46929853
21NOV819 ;Avenida 21 de Novembro, 819;-22,41554362;-45,46766729
RODO ;Rua Capitão João Renó (Terminal Rodoviário);-22,42396895;-45,46084048
BRB27 ;Rua Barão do Rio Branco, 27;-22,42606977;-45,45865692
ALR25 ;Rua Aurílio Lopes Ramos, 25 (Restaurante Popular);-22,42545011;-45,45591079
PC64 ;Avenida Paulo Chiaradia, 64;-22,42796625;-45,4545838
PC356 ;Avenida Paulo Chiaradia, 356;-22,42950272;-45,45692732
BMENE3201 ;Rua Belarminio Menezes, 3201;-22,4307872;-45,45636321
PÇPGV98 ;Praça Presidente Getúlio Vargas, 98;-22,42372102;-45,45469612
BPS356 ;Avenida Benedito pereira dos Santos, 356;-22,42070847;-45,45500128
BPS682 ;Avenida Benedito pereira dos Santos, 682;-22,41755466;-45,45445525
BPS1062 ;Avenida Benedito pereira dos Santos, 1062;-22,41451149;-45,45352904
BPS1402 ;Avenida Benedito pereira dos Santos, 1402;-22,41410245;-45,45064681
AMAF277 ;Rua André Martins Andrade Filho, 277;-22,41624725;-45,44779127
ASB246 ;Rua Antônio Silva Branco, 246;-22,41775075;-45,44618922
ASB360 ;Rua Antônio Silva Branco, 360;-22,41711821;-45,44462388
SLC190 ;Rua Sérgio Lima Costa, 190;-22,41549639;-45,44326611
BPS2434 ;Avenida Benedito Pereira dos Santos, 2434;-22,41562203;-45,441506
G9 ;Alameda 3, G9;-22,41501999;-45,43845738
PREFEITURA ;Alameda 3, Prefeitura;-22,41236176;-45,43645095
G9.2 ;Alameda 3, G9.2;-22,41473059;-45,43850997
FLORESTA1239 ;Rua da Floresta, 1239;-22,41732794;-45,4400181
FLORESTA1065 ;Rua da Floresta, 1065;-22,4166821;-45,44104003
FLORESTA895 ;Rua da Floresta, 895;-22,41610065;-45,44241112
CPS40 ;Rua Cândido Pereira dos Santos, 40;-22,4166619;-45,44248088
JCPS478 ;Rua José Cândido Pereira dos Santos, 478;-22,4195524;-45,44266953
RBARB370 ;Rua Rui Barbosa, 370;-22,42054785;-45,44256241
BDP355 ;Rua Basílio Dias Pinto, 355;-22,41900952;-45,44205068
ARS1 ;Rua Afonso Rodrigues da Silva, 1;-22,41856504;-45,44272514
ARS149 ;Rua Afonso Rodrigues da Silva, 149;-22,41949659;-45,44373244
FLORESTA673 ;Rua da Floresta, 673;-22,41927915;-45,44485843
FLORESTA621 ;Rua da Floresta, 621;-22,41781221;-45,44358641
GRS10 ;Rua Gabriel Rodrigues da Silva, 10;-22,41922966;-45,44735233
VVV328 ;Rua Dr. Vicente Vilela Viana, 328;-22,41853733;-45,44618714
FLEITE81 ;Rua Frederico Leite, 81;-22,42713391;-45,45200266
OCRUZ257 ;Rua Osvaldo Cruz, 257;-22,42836311;-45,43945787
MLUISE25 ;Rua Moisés Luise, 25;-22,41670601;-45,44575553
HCARD700 ;Av. Henriqueto Cardinale, 700;-22,42558173;-45,44364205
HCARD268 ;Av. Henriqueto Cardinale, 268;-22,42576683;-45,44811743
BPS1721 ;Avenida Benedito Pereira dos Santos, 1721;-22,41604112;-45,44731117
UNIFEI ;Avenida Benedito Pereira dos Santos (Universidade Federal de Itajubá);-22,41378308;-45,45077934
BPS1077 ;Rua Benedito Pereira dos Santos, 1077;-22,4143467;-45,45383014
BPS725 ;Avenida Benedito Pereira dos Santos, 725;-22,41607112;-45,45449891
BPS219 ;Avenida Benedito Pereira dos Santos, 219;-22,42097121;-45,45527727
TCS49 ;Rua Tiago Carneiro Santiago, 49;-22,42283902;-45,45389286
JAP311 ;Av. João Antônio Pereira, 311;-22,42407351;-45,45011328
PCAPE37 ;Rua Primo Capelo, 37;-22,42276381;-45,45763203
JBRAGA42 ;Rua Jorge Braga, 42;-22,42977771;-45,4590422
JBRAGA424 ;Rua Jorge Braga, 424;-22,42934487;-45,46201072
PÇDBOSCO ;Praça Dom Bosco;-22,42880316;-45,46502859
OMACIEL2 ;Rua Olegário Maciel, 2;-22,42904225;-45,46550164
EXPO ;Avenida Presidente Tancredo de Almeida Neves (Parque de Exposições);-22,42682342;-45,46594676
PTAN720 ;Avenida Presidente Tancredo de Almeida Neves, 720;-22,42377715;-45,4688194
PCALDAS380 ;Rodovia Poços de Caldas, 380;-22,42315677;-45,47631298
JCM ;Rua João Costa Machado;-22,42208073;-45,48117703
PCALDAS1058 ;Rodovia Poços de Caldas, 1058;-22,4232659;-45,484176
PCALDAS1432 ;Rodovia Poços de Caldas, 1432;-22,42331629;-45,48801233
WLM2 ;Avenida Wagner Lemes Machado, 2;-22,42592549;-45,49288063
DCO1 ;Rua Professora Darcy Carneiro de Oliveira, 1;-22,42718962;-45,49578786
DEZ708 ;Rua Dez, 708;-22,42465336;-45,49581537
DEZ800 ;Rua Dez, 800;-22,42361085;-45,49600062
DEZ920 ;Rua Dez, 920;-22,42211075;-45,49655823
FRIVASA ;Rua Dez (Frivasa);-22,4187643;-45,49551739
DEZ925 ;Rua Dez, 925;-22,42206858;-45,49660713
DEZ837 ;Rua Dez, 837;-22,42357972;-45,49606813
DEZ701 ;Rua Dez, 701;-22,42467591;-45,49588275
JPAES150 ;Rua José Paes, 150;-22,42779321;-45,49712709
24,107;Rua Vinte e Quatro, 107;-22,42866607;-45,49849383
EAC179 ;Rua Evaristo Alckmin da Costa, 179;-22,42888921;-45,49706804
COUNTRY2 ;Av. Nossa Senhora da Piedade (Country);-22,43002433;-45,48853788
EAC1 ;Rua Evaristo Alckmin da Costa, 1;-22,42815076;-45,49540622
WLM205 ;Avenida Wagner Lemes Machado, 205;-22,42778501;-45,4939475
NSPIE366 ;Av. Nossa Senhora da Piedade, 366;-22,42851222;-45,48988604
CNDNACOES ;Rua dos Estados Unidos (Condomínio das Nações);-22,43165057;-45,49080675
PNB55 ;Rua Professor Nélio Brandani Tenório, 55;-22,43480766;-45,4935242
PCALDAS2789 ;Rodovia Poços de Caldas,  2789;-22,43136862;-45,49421681
PCALDAS2700 ;Rodovia Poços de Caldas, 2700;-22,43102755;-45,49429109
TREVOPIEDADE ;Rodovia Poços de Caldasx Av. Nossa Senhora da Piedade;-22,42572021;-45,49164632
DMC358 ;Rua Dona Maria Carneiro, 358;-22,42780967;-45,46174622
OMACIEL250 ;Rua Olegário Maciel, 250;-22,43214699;-45,46607627
GCAMP412 ;Rua Geraldino Campista, 412;-22,43292811;-45,46768949
GCAMP572 ;Rua Geraldino Campista, 572;-22,43424039;-45,46856065
GCAMP725 ;Rua Geraldino Campista, 725;-22,43551681;-45,46899413
GCAMP860 ;Rua Geraldino Campista, 860;-22,43670964;-45,46952375
GCAMP1060 ;Rua Geraldino Campista, 1060;-22,43840837;-45,46963748
MREBO150 ;Rua Monsieur Rebourgeon, 150;-22,43853889;-45,47225201
JEC180 ;Av. José Ernesto Coelho, 180;-22,44072716;-45,47463212
JEC300 ;Av. José Ernesto Coelho, 300;-22,44176934;-45,47524831
WROMANO1 ;Rua Waldemar Romanó, 1;-22,44313802;-45,47718104
WROMANO182 ;Rua Waldemar Romanó, 182;-22,44401629;-45,4786495
WROMANO330 ;Rua Waldemar Romanó, 330;-22,44529805;-45,47949695
WROMANO550 ;Rua Waldemar Romanó, 550;-22,44730303;-45,47955888
AROMANO151 ;Rua Antônio Romanó, 151;-22,44741936;-45,47873165
AROMANO55 ;Rua Waldemar Romanó, 55;-22,44565909;-45,47866021
AGALO315 ;Rua Albérico Galo, 315;-22,44706196;-45,47737581
IMR215 ;Rua Inácio Mendes Ribeiro, 215;-22,44583198;-45,47735712
MRM222 ;Rua Maria Rodrigues Muniz, 222;-22,44538937;-45,47649314
MRM320 ;Rua Maria Rodrigues Muniz, 320;-22,44651138;-45,47555543
MRM530 ;Rua Maria Rodrigues Muniz, 530;-22,44772278;-45,47458049
MJPJ101 ;Rua Manoel José Pereira Júnior, 101;-22,44894602;-45,47256714
MCPS545 ;Rua Maria Celestina Pereira dos Santos, 545;-22,44694064;-45,47361974
MCPS339 ;Rua Maria Celestina Pereira dos Santos, 339;-22,44534417;-45,47499445
MCPS49 ;Rua Maria Celestina Pereira dos Santos, 49;-22,44346726;-45,47658947
JEC301 ;Av. José Ernesto Coelho, 301;-22,44185547;-45,47515379
JEC169 ;Av. José Ernesto Coelho, 169;-22,4406639;-45,47448436
MREBO171 ;Rua Monsieur Rebourgeon, 171;-22,43874498;-45,47231327
GCAMP1065 ;Rua Geraldino Campista, 1065;-22,43845008;-45,46955999
GCAMP907 ;Rua Geraldino Campista, 907;-22,43701982;-45,4695357
GCAMP748 ;Rua Geraldino Campista, 748;-22,43550191;-45,46909456
GCAMP415 ;Rua Geraldino Campista, 415;-22,43307138;-45,46775465
GCAMP89 ;Rua Geraldino Campista, 89;-22,43331724;-45,46494368
EPFP503 ;Rua Engenheiro Pedro Fonseca Paiva, 503;-22,43352704;-45,46340235
EPFP125 ;Rua Engenheiro Pedro Fonseca Paiva, 125;-22,43009558;-45,46276162
DMC123 ;Rua Dona Maria Carneiro, 123;-22,42591653;-45,4605352
PCALDAS2195 ;Rodovia Poços de Caldas, 2195;-22,42640621;-45,49304264
PCALDAS1061 ;Rodovia Poços de Caldas, 1061;-22,42348752;-45,48425022
TIRADENTES2 ;Avenida Tiradentes, 2;-22,4242743;-45,48100966
PCALDAS375 ;Rodovia Poços de Caldas, 375;-22,4233664;-45,47613295
FANIA ;Avenida Presidente Tancredo de Almeida Neves (FANIA);-22,42378124;-45,46897638
PTAN531 ;Avenida Presidente Tancredo de Almeida Neves, 531;-22,42504152;-45,46783731
SENAC ;Avenida Presidente Tancredo de Almeida Neves (SENAC);-22,42652642;-45,46639751
LRENO575 ;Rua Dr. Luís Renó,575;-22,42960847;-45,46388224
DEZ459 ;Rua Dez,459;-22,42696203;-45,49600977
WLM3 ;Avenida Wagner Lemes Machado, 3;-22,42627386;-45,49311401
PCALDAS3150 ;Rodovia Poços de Caldas, 3150;-22,43574146;-45,49716234
PCALDAS3700 ;Rodovia Poços de Caldas, 3700;-22,43643872;-45,50059281
PCALDAS3701 ;Rodovia Poços de Caldas, 3701;-22,43665296;-45,50077879
PCALDAS4300 ;Rodovia Poços de Caldas, 4300;-22,43337233;-45,50691962
PFARIA1 ;Estrada da Fazenda de Paulo Faria, 1;-22,43584835;-45,50604406
PFARIA2 ;Estrada da Fazenda de Paulo Faria, 2;-22,4404064;-45,50531347
PCALDAS4101 ;Rodovia Poços de Caldas, 4101;-22,43684711;-45,5034623
PCALDAS2901 ;Rodovia Poços de Caldas, 2901;-22,43522956;-45,49570104
PCALDAS1425 ;Rodovia Poços de Caldas, 1425;-22,42352396;-45,48783089
MAHLE ;Avenida Tiradentes (Mahle);-22,42743814;-45,48101633
TIRADENTES1 ;Avenida Tiradentes, 1;-22,42523945;-45,4812072
LRENO31 ;Rua Dr. Luís Renó, 31;-22,43040274;-45,4586187
JEC72 ;Av. José Ernesto Coelho, 72;-22,44328222;-45,47835766
JEC250 ;Av. José Ernesto Coelho, 250;-22,44423069;-45,48004434
JEC892 ;Av. José Ernesto Coelho, 892;-22,44646465;-45,48011563
JEC1300 ;Av. José Ernesto Coelho, 1300;-22,44795163;-45,48038488
JCP ;Av. João Corrêa Pinto;-22,44905947;-45,48469772
JDCS360 ;Rua José Dias Chaves Sobrinho, 360;-22,4459505;-45,48608003
BR383.94 ;BR-383, 94;-22,44412731;-45,48823721
NSPIE1401 ;Av. Nossa Senhora da Piedade, 1401;-22,4391927;-45,48939724
NSPIE1021 ;Av. Nossa Senhora da Piedade, 1021;-22,43385124;-45,48917789
VBRASIL26 ;Rua Vital Brasil, 26;-22,43091648;-45,45794187
VBRASIL288 ;Rua Vital Brasil, 288;-22,43323658;-45,45856206
FMIT ;Avenida Renó Junior (FMIT);-22,43516132;-45,45681463
VJAS586 ;Rua Vereador José Aldano Santana, 586;-22,43644326;-45,45755155
VJAS814 ;Rua Vereador José Aldano Santana, 814;-22,43758178;-45,45849884
OCM155 ;Rua Doná Chaib Mauab, 155;-22,43861565;-45,45734632
AAF200 ;Rua Alexandre Alves Fernandes, 200;-22,44193898;-45,4592707
AAF ;Rua Alexandre Alves Fernandes;-22,44423749;-45,45837663
OCM80 ;Rua Doná Chaib Mauab, 80;-22,439095;-45,45655871
OCM156 ;Rua Doná Chaib Mauab, 156;-22,43857198;-45,45723091
OCM286 ;Rua Doná Chaib Mauab, 286;-22,43781201;-45,4583685
VJAS655 ;Rua Vereador José Aldano Santana, 655;-22,43670855;-45,45764218
RJUNIOR160 ;Avenida Renó Junior, 160;-22,43516196;-45,45670541
VBRASIL305 ;Rua Vital Brasil, 305;-22,43340924;-45,45852457
JMPC390 ;Rua José de Manso Pereira Cabral, 390;-22,43129529;-45,45791186
WLM1 ;Avenida Wagner Lemes Machado, 1;-22,42553574;-45,49229625
NSPIE1000 ;Av. Nossa Senhora da Piedade, 1000;-22,43331469;-45,48895436
NSPIE1400 ;Av. Nossa Senhora da Piedade, 1400;-22,43840098;-45,48946542
NSPIE2000 ;Av. Nossa Senhora da Piedade, 2000;-22,45181245;-45,48606411
NSPIE2500 ;Av. Nossa Senhora da Piedade, 2500;-22,45496804;-45,48661362
NSPIE2001 ;Av. Nossa Senhora da Piedade, 2001;-22,4523999;-45,48625747
JDCS500 ;Rua José Dias Chaves Sobrinho, 500;-22,44489736;-45,48677158
JDCS361 ;Rua José Dias Chaves Sobrinho, 361;-22,44603135;-45,48621263
JDCS1 ;Rua José Dias Chaves Sobrinho, 1;-22,44906015;-45,48494348
JEC1400 ;Av. José Ernesto Coelho, 1400;-22,4485942;-45,48044593
JEC1548 ;Av. José Ernesto Coelho, 1548;-22,44966212;-45,48067147
JEC1754 ;Av. José Ernesto Coelho, 1754;-22,45124006;-45,48143444
JEC1880 ;Av. José Ernesto Coelho, 1880;-22,45321326;-45,48143415
JEC2000 ;Av. José Ernesto Coelho, 2000;-22,45507471;-45,48110324
PIEDADE1 ;Bairro Piedade, 1;-22,45567399;-45,4811735
PIEDADE2 ;Bairro Piedade, 2;-22,45793628;-45,48113883
PIEDADE3 ;Bairro Piedade, 3;-22,45687958;-45,48058863
PIEDADE4 ;Bairro Piedade, 4;-22,45592582;-45,48014825
PIEDADE5 ;Bairro Piedade, 5;-22,45522286;-45,48105813
JEC1901 ;Av. José Ernesto Coelho, 1901;-22,45350742;-45,48126422
JEC1755 ;Av. José Ernesto Coelho, 1755;-22,45139707;-45,48140489
JEC1629 ;Av. José Ernesto Coelho, 1629;-22,45000131;-45,48079433
JEC955 ;Av. José Ernesto Coelho, 955;-22,44711349;-45,48013724
JEC895 ;Av. José Ernesto Coelho, 895;-22,44658881;-45,48005046
JEC243 ;Av. José Ernesto Coelho, 243;-22,44407282;-45,47985583
MCPS24 ;Rua Maria Celestina Pereira dos Santos, 24;-22,44327114;-45,47682977
MCPS340 ;Rua Maria Celestina Pereira dos Santos, 340;-22,4452791;-45,47510214
CAMB26 ;Rua Cambuí, 26;-22,44688883;-45,47389855
MBRAG460 ;Rua Miguel Braga, 460;-22,42470895;-45,46174212
CGOMES616 ;Av. Capitão Gomes, 616;-22,42350465;-45,46272295
CGOMES800 ;Av. Capitão Gomes, 800;-22,42260731;-45,46410186
SAJF490 ;Rua Silvestre Antônio Junqueira Ferraz, 490;-22,41996833;-45,46868129
SAJF780 ;Rua Silvestre Antônio Junqueira Ferraz, 780;-22,41939091;-45,47119051
SAJF1060 ;Rua Silvestre Antônio Junqueira Ferraz, 1060;-22,41964088;-45,4736019
SAJF1318 ;Rua Silvestre Antônio Junqueira Ferraz, 1318;-22,41983944;-45,47601411
SAJF1410 ;Rua Silvestre Antônio Junqueira Ferraz, 1410;-22,41969442;-45,47694743
PPD320 ;Rua Padre Petrus Dingenouts, 320;-22,41842385;-45,47975462
PPD582 ;Rua Padre Petrus Dingenouts, 582;-22,41566277;-45,48059911
UM130 ;Rua Um, 130;-22,4141844;-45,48031009
AKARDEC259 ;Rua Alan Kardec, 259;-22,41296146;-45,47940078
PPD920 ;Rua Padre Petrus Dingenouts, 920;-22,41237467;-45,48039227
PPD1030 ;Rua Padre Petrus Dingenouts, 1030;-22,41109753;-45,48030581
PPD1280 ;Rua Padre Petrus Dingenouts, 1280;-22,40881853;-45,48022801
PPD1031 ;Rua Padre Petrus Dingenouts, 1031;-22,41118451;-45,48040679
PPD921 ;Rua Padre Petrus Dingenouts, 921;-22,41239318;-45,48049081
PPD581 ;Rua Padre Petrus Dingenouts, 581;-22,41571298;-45,48069255
PPD319 ;Rua Padre Petrus Dingenouts, 319;-22,41861293;-45,47982361
SAJF1379 ;Rua Silvestre Antônio Junqueira Ferraz, 1379;-22,42005519;-45,47665261
SAJF1299 ;Rua Silvestre Antônio Junqueira Ferraz, 1299;-22,41998976;-45,47566
SAJF757 ;Rua Silvestre Antônio Junqueira Ferraz, 757;-22,41954358;-45,47122722
SAJF369 ;Rua Silvestre Antônio Junqueira Ferraz, 369;-22,41982775;-45,46922955
SAJF181 ;Rua Silvestre Antônio Junqueira Ferraz, 181;-22,42172755;-45,46596103
CGOMES707 ;Av. Capitão Gomes, 707;-22,42316841;-45,46353421
MBRAG501 ;Rua Miguel Braga, 501;-22,42430521;-45,46259902
BRETAS ;Av. Capitão Gomes (Bretas);-22,42614923;-45,46186974
ALISB3999 ;Rua Antônio Lisboa, 3999;-22,41309885;-45,46937852
ALISB3427 ;Rua Antônio Lisboa, 3427;-22,41292989;-45,47086646
ALISB2345 ;Rua Antônio Lisboa, 2345;-22,4135112;-45,47265437
ALISB2245 ;Rua Antônio Lisboa, 2245;-22,41442851;-45,47272308
ALISB2041 ;Rua Antônio Lisboa, 2041;-22,41570191;-45,47381223
ALISB1835 ;Rua Antônio Lisboa, 1835;-22,41696645;-45,47579246
ALISB995 ;Rua Antônio Lisboa, 995;-22,41775261;-45,47628327
AKARDEC132 ;Rua Alan Kardec, 132;-22,41293355;-45,47885905
JMPEI527 ;Rua José Maria Peixoto, 527;-22,4128875;-45,47669725
JMPEI255 ;Rua José Maria Peixoto, 255;-22,41427388;-45,47827133
5.110;Rua Cinco, 110;-22,41341896;-45,47816629
AKARDEC133 ;Rua Alan Kardec, 133;-22,41286469;-45,47876837
PPD767 ;Rua Padre Petrus Dingenouts, 767;-22,41385689;-45,48090361
ALISB996 ;Rua Antônio Lisboa, 996;-22,41774228;-45,47618946
ALISB3422 ;Rua Antônio Lisboa, 3422;-22,41301397;-45,47078603
ALISB4000 ;Rua Antônio Lisboa, 4000;-22,41314737;-45,46945462
OCRUZ40 ;Rua Osvaldo Cruz, 40;-22,42708368;-45,44104798
COUNTRY ;Av. Nossa Senhora da Piedade (Country);-22,43009796;-45,48866405
AAF469 ;Rua Alexandre Alves Fernandes, 469;-22,44036402;-45,45864652
AAF558 ;Rua Alexandre Alves Fernandes, 558;-22,44015399;-45,45869745
AAF295 ;Rua Alexandre Alves Fernandes, 295;-22,44007017;-45,4565698
AAF256 ;Rua Alexandre Alves Fernandes, 256;-22,43980298;-45,45644196
22.120;Rua Vinte e Dois, 120;-22,412033;-45,47850202
20.53;Rua Vinte, 53;-22,41164672;-45,47744587
20.21;Rua Vinte, 21;-22,41244884;-45,47732907
ACR154 ;Rua Ana Carneiro Renó, 154;-22,43502604;-45,46494747
MT ;Rua Murilo Teixeira (Igreja);-22,43594797;-45,46548704
FPD174 ;Rua Francisco Pereira Dias, 174;-22,43685266;-45,46567435
FPD240 ;Rua Francisco Pereira Dias, 240;-22,43607628;-45,4669721
AM222 ;Rua Ângelo Marzulo, 222;-22,43768401;-45,46722939
DLP618 ;Rua Doná Liça Pereira, 618;-22,43835285;-45,46653295
DLP790 ;Rua Doná Liça Pereira, 790;-22,44008478;-45,46798946
ACG11 ;Rua Ana Campos Gonçalves, 11;-22,43916799;-45,46958931
ACG10 ;Rua Ana Campos Gonçalves, 10;-22,43914297;-45,46980559
DLP761 ;Rua Doná Liça Pereira, 761;-22,43988949;-45,46771048
DLP635 ;Rua Doná Liça Pereira, 635;-22,43876752;-45,46678394
AM271 ;Rua Ângelo Marzulo, 271;-22,43769721;-45,46706815
FPD241 ;Rua Francisco Pereira Dias, 241;-22,43608219;-45,46704568
FPD179 ;Rua Francisco Pereira Dias, 179;-22,4367584;-45,46596385
DLP331 ;Rua Doná Liça Pereira, 331;-22,4365444;-45,46515643
DLP215 ;Rua Doná Liça Pereira, 215;-22,43556274;-45,46446815
